vendor,country,website,domain,primary_email,all_emails,email_source,email_page,phone,whatsapp,telegram_signal,social,us_signal_on_site,state_mentioned,company_type,sells_direct,research_only,peptide_terms_found,peptide_hits,peptidebase_tier,listed_on,peptidebase_profile,finnrick_profile,finnrick_location,finnrick_products_tested,finnrick_tests,finnrick_status,crawl_status,pages_checked,notes
Peptiva Research Labs | Premium USA Research Peptides,unknown (discovered via search),https://peptivaresearchlabs.com/,peptivaresearchlabs.com,info@peptivaresearchlabs.com,info@peptivaresearchlabs.com,website,https://peptivaresearchlabs.com/,,,,,yes,,manufacturing_lab,,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, selank, semax, tb-500, tesamorelin",12,,"repo roster (discovery:result:peptide brand ""made in the USA"" research)",,,,,,,ok,3,
Research Peptides Durham NC — Premium Laboratory Compounds,unknown (discovered via search),https://peptidesdurham.shop/,peptidesdurham.shop,research@aqroresearch.com,research@aqroresearch.com; researcher@institution.edu,website,https://peptidesdurham.shop/,,,,,yes,North Carolina,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, mots-c, peptide, peptides, pt-141, semaglutide, tb-500, tirzepatide",12,,"repo roster (discovery:result:research peptides company ""North Carolina"")",,,,,,,ok,6,
Research Peptides USA - Cellugenix,unknown (discovered via search),https://cellugenixpeptides.io/,cellugenixpeptides.io,info@cellugenixpeptides.io,info@cellugenixpeptides.io; info@cellugenixpeptides.com,website,https://cellugenixpeptides.io/,(403) 952-9999,,,,yes,,manufacturing_lab,yes,yes,"aod-9604, bpc-157, epitalon, ghk-cu, mots-c, nad+, peptide, peptides, retatrutide, selank, semax, tb-500",12,,"repo roster (discovery:result:peptides ""add to cart"" research use only)",,,,,,,ok,7,
Shop Apex Peptides Lab ↗,unknown (discovered via search),https://apexpeptideslab.com/,apexpeptideslab.com,support@apexpeptideslab.com,support@apexpeptideslab.com,website,https://apexpeptideslab.com/contact-us,(561) 369-6083,,,,yes,,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, kisspeptin, mots-c, nad+, peptide, peptides, tb-500, tesamorelin, tirzepatide",12,,repo roster (listdeep:peptideprices.net),,,,,,,ok,6,
Shop Purity Peptides ↗,unknown (discovered via search),https://puritypeptides.is/,puritypeptides.is,support@puritypeptides.is,support@puritypeptides.is; nsupport@puritypeptides.is,website,https://puritypeptides.is/contact,,,,,yes,,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, tb-500, tesamorelin, thymosin",12,,repo roster (listdeep:peptideprices.net),,,,,,,ok,7,
Visit site,unknown (discovered via search),https://geneticpeptides.com/,geneticpeptides.com,service@geneticpeptide.com,service@geneticpeptide.com,website,https://geneticpeptides.com/,(469) 619-8611,,,,yes,Texas,research_only,yes,yes,"aod9604, bpc-157, cjc-1295, cjc1295, ghk-cu, ipamorelin, peptide, peptides, selank, semax, tb-500, tesamorelin",12,,repo roster (listdeep:peptidesfinder.com),,,,,,,ok,1,
About Peptide California,unknown (discovered via search),https://peptidecalifornia.com/,peptidecalifornia.com,info@peptidecalifornia.com,info@peptidecalifornia.com,website,https://peptidecalifornia.com/,,,,,yes,California,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, dsip, ghk-cu, ipamorelin, nad+, peptide, peptides, pt-141, selank, semax",11,,"repo roster (discovery:result:peptide supplier ""California"" lab tested)",,,,,,,ok,7,
About Us - Your Peptide Brand,unknown (discovered via search),https://purispeptides.com/,purispeptides.com,support@purispeptides.com,support@purispeptides.com; info@purispeptides.com; support@alphaaminolabs.com; support@solpeptide.com,website,https://purispeptides.com/,(952) 451-3411; (973) 910-0819,,,,yes,Georgia,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, ghk-cu, ipamorelin, melanotan, mots-c, peptide, peptides, tb500, thymosin",11,,"repo roster (discovery:result:peptide supplier ""Georgia"" lab tested)",,,,,,,ok,7,
BPC-157,unknown (discovered via search),https://blackwellbiolabs.com/,blackwellbiolabs.com,support@blackwellbiolabs.com,support@blackwellbiolabs.com; admin@blackwellbiolabs.com; legal@blackwellbiolabs.com; privacy@blackwellbiolabs.com,website,https://blackwellbiolabs.com/,(808) 644-0634; (808) 736-3208,,,,yes,Hawaii,research_only,yes,yes,"bpc-157, ghk-cu, glp-1, mots-c, peptide, peptides, retatrutide, semax, ss-31, tb-500, thymosin",11,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,7,
High Purity Research Peptides USA | 99% Purity Peptide Supplier,unknown (discovered via search),https://ariespeptideresearch.com/,ariespeptideresearch.com,info@peptideace.com,info@peptideace.com,website,https://ariespeptideresearch.com/contact-us/,(817) 394-1110,,,,yes,TX,manufacturing_lab,yes,yes,"aod-9604, bpc-157, cjc-1295, ghk-cu, ipamorelin, melanotan, peptide, peptides, pt-141, sermorelin, tb-500",11,,"repo roster (discovery:result:research peptides ""buy now"" 99% purity)",,,,,,,ok,7,
Neuropeptide Research | Research Peptides EU | PEAK_PEPTIDE,unknown (discovered via search),https://peakpeptide.com/,peakpeptide.com,contact@peakpeptide.com,contact@peakpeptide.com; privacy@peakpeptide.com,website,https://peakpeptide.com/,,,,,yes,,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, tb-500, thymosin",11,,repo roster (discovery:result:nootropics peptides shop USA research),,,,,,,ok_chromium,5,
Research Peptides In Hawaii | 17 Cities | Pep Nation Lab,unknown (discovered via search),https://pepnationlab.com/,pepnationlab.com,support@pepnationlab.com,support@pepnationlab.com; research@pepnationlab.com,website,https://pepnationlab.com/,,,,,yes,Texas,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, nad+, peptide, peptides, retatrutide, semaglutide, tb-500, tirzepatide",11,,"repo roster (discovery:result:research peptides company ""Hawaii"")",,,,,,,ok,3,
Research Peptides in Hawaii | Buy & Ship Statewide | Peptides Factory ...,unknown (discovered via search),https://peptidesfactorydirect.com/,peptidesfactorydirect.com,info@peptidesfactorydirect.com,info@peptidesfactorydirect.com; privacy@peptidesfactorydirect.com,website,https://peptidesfactorydirect.com/,,,,,yes,Wyoming,research_only,yes,yes,"bpc-157, ghk-cu, glp-1, ipamorelin, melanotan, peptide, peptides, selank, semaglutide, tb-500, tirzepatide",11,,"repo roster (discovery:result:research peptides company ""Hawaii"")",,,,,,,ok,5,
Shop BioLeno ↗,unknown (discovered via search),https://bioleno.com/,bioleno.com,support@bioleno.com,support@bioleno.com,website,https://bioleno.com/,(307) 343-7273,,,,yes,Wyoming,research_only,yes,yes,"bpc-157, ghk-cu, mots-c, nad+, peptide, peptides, selank, semax, sermorelin, tb-500, tesamorelin",11,,repo roster (listdeep:peptideprices.net),,,,,,,ok_chromium,5,
Shop Elytra Labs ↗,unknown (discovered via search),https://elytralabs.shop/,elytralabs.shop,support@elytralabs.shop,support@elytralabs.shop,website,https://elytralabs.shop/,(983) 206-5762,,,,yes,Florida,research_only,yes,yes,"bpc-157, cjc-1295, dsip, ghk-cu, ipamorelin, mots-c, peptide, peptides, selank, semax, tb-500",11,,repo roster (listdeep:peptideprices.net),,,,,,,ok_chromium,5,
Shop PuraSynth Labs ↗,unknown (discovered via search),https://purasynth.com/,purasynth.com,support@purasynth.com,support@purasynth.com,website,https://purasynth.com/,(469) 753-6505; (838) 786-5699,,,,yes,Texas,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, tb-500, tesamorelin",11,,repo roster (listdeep:peptideprices.net),,,,,,,ok,7,
About Us - arizona peptides,unknown (discovered via search),https://arizonapeptides.us/,arizonapeptides.us,info@arizonapeptides.us,info@arizonapeptides.us; info@arizonapeptidesus.com; nvmetim@gmail.com,website,https://arizonapeptides.us/,(480) 486-8832,,,,yes,Arizona,manufacturing_lab,yes,yes,"aod-9604, bpc-157, ipamorelin, mots-c, peptide, peptides, selank, semax, tb-500, tesamorelin",10,,"repo roster (discovery:result:research peptides company ""Arizona"")",,,,,,,ok_chromium,1,
BioSupply UK: Premium Research Peptides,unknown (discovered via search),https://biosupplyuk.com/,biosupplyuk.com,support@biosupplyuk.com,support@biosupplyuk.com; info@biosupplyuk.com,website,https://biosupplyuk.com/,,,,,no,,research_only,yes,yes,"bpc-157, glp-1, melanotan, mots-c, nad+, peptide, peptides, retatrutide, tb-500, tesamorelin",10,,"repo roster (discovery:result:peptide ""subscribe and save"" research)",,,,,,,ok,7,
Buy Mindful Research Peptides Online California | Mindfulpeptides,unknown (discovered via search),https://mindfulpeptides.com/,mindfulpeptides.com,support@mindfulpeptides.com,support@mindfulpeptides.com; april@mindfulpeptides.com,website,https://mindfulpeptides.com/,(216) 302-8523,,,,yes,California,manufacturing_lab,yes,yes,"bpc-157, cagrilintide, ghk-cu, nad+, peptide, peptides, retatrutide, semaglutide, tb-500, tirzepatide",10,,"repo roster (discovery:result:research peptides ""buy now"" 99% purity)",,,,,,,ok,6,
Buy Research Peptides | Arizona Peptides USA,unknown (discovered via search),https://arizonapeptidesus.com/,arizonapeptidesus.com,info@arizonapeptidesus.com,info@arizonapeptidesus.com; support@arizonapeptides.com; info@arizonapeptides.us; jnelson1418@gmail.com; nvmetim@gmail.com,website,https://arizonapeptidesus.com/,(480) 468-8832; (480) 486-8832; (555) 123-4567,,,,yes,Arizona,manufacturing_lab,yes,yes,"aod-9604, bpc-157, ipamorelin, mots-c, peptide, peptides, selank, semax, tb-500, tesamorelin",10,,"repo roster (discovery:result:research peptides company ""Arizona"")",,,,,,,ok_chromium,5,
Home | PeptideFix | High-Quality Research Peptides Official Website,unknown (discovered via search),https://peptidefix.co/,peptidefix.co,peptidefix@gmail.com,peptidefix@gmail.com; researcher@institution.edu,website,https://peptidefix.co/,,,,,yes,Oklahoma,manufacturing_lab,yes,yes,"bpc-157, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, ss-31, tesamorelin, tirzepatide",10,,"repo roster (discovery:result:research peptides company ""Oklahoma"")",,,,,,,ok,7,
NovaPrime Labs | USA Made Research Peptides,unknown (discovered via search),https://novaprimelabs.com/,novaprimelabs.com,cs@novaprimelabs.com,cs@novaprimelabs.com; cs@novaprimelabs.comphone,website,https://novaprimelabs.com/,(302) 305-6431; (516) 147-3085; (568) 137-4933,,,,yes,California,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, tb-500, thymosin",10,,"repo roster (discovery:result:research peptides ""buy now"" 99% purity)",,,,,,,ok,6,
"Peptide Research Compounds in Wilmington, Delaware | Purified Peptide",unknown (discovered via search),https://purifiedpeptide.com/,purifiedpeptide.com,info@purifiedpeptide.com,info@purifiedpeptide.com,website,https://purifiedpeptide.com/privacy-policy/,,,,,yes,,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, peptide, peptides, thymosin",10,,"repo roster (discovery:result:peptide supplier ""Delaware"" lab tested)",,,,,,,ok_chromium,5,
Research — Educational Articles | YouthfulLab USA,unknown (discovered via search),https://youthfullabusa.com/,youthfullabusa.com,info@youthfullabusa.com,info@youthfullabusa.com,website,https://youthfullabusa.com/,,,,,yes,Tennessee,manufacturing_lab,,yes,"bpc-157, bpc157, cjc-1295, ghk-cu, ipamorelin, peptide, peptides, retatrutide, tb-500, tb500",10,,"repo roster (discovery:result:peptide supplier ""Tennessee"" lab tested)",,,,,,,ok,7,
Visit,unknown (discovered via search),https://walkerchemicals.store/,walkerchemicals.store,admin@walkerchemicals.store,admin@walkerchemicals.store,website,https://walkerchemicals.store/,,,,,no,,manufacturing_lab,,yes,"bpc-157, ghk-cu, ipamorelin, kisspeptin, mots-c, peptide, peptides, retatrutide, tb500, tesamorelin",10,,repo roster (listdeep:peptidesfinder.com),,,,,,,ok,4,
Visit Site,unknown (discovered via search),https://swedishpeptides.shop/,swedishpeptides.shop,kontakt@swedishpeptides.shop,kontakt@swedishpeptides.shop,website,https://swedishpeptides.shop/,,,,,no,,consumer_and_research,,,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, nad+, peptide, peptides, tb-500, thymosin",10,,repo roster (listdeep:peptidegrades.com),,,,,,,ok,1,
"In Q1 2026 alone, the FDA issued 41 warning letters and Pept",unknown (discovered via search),https://peptidings.com/,peptidings.com,info@peptidings.com,info@peptidings.com,website,https://peptidings.com/contact/,,,,,yes,Indiana,compounding_pharmacy,,,"bpc-157, ghk-cu, glp-1, peptide, peptides, semaglutide, tb-500, thymosin, tirzepatide",9,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,5,reads like editorial/affiliate site
JD BioWorks: Research Peptides & Lot-Specific COAs,unknown (discovered via search),https://jdbioworks.com/,jdbioworks.com,support@jdbioworks.com,support@jdbioworks.com,website,https://jdbioworks.com/,(310) 425-5474,,,,yes,CALIFORNIA,research_only,yes,yes,"bpc-157, cjc-1295, epitalon, ghk-cu, ipamorelin, peptide, peptides, selank, semaglutide",9,,"repo roster (discovery:result:research peptides company ""California"")",,,,,,,ok,7,
MOTS-c - Peptides Lumina,unknown (discovered via search),https://peptideslumina.com/,peptideslumina.com,support@peptideslumina.com,support@peptideslumina.com,website,https://peptideslumina.com/,(561) 528-2020,,,,yes,Florida,research_only,yes,yes,"bpc-157, ghk-cu, mots-c, nad+, peptide, peptides, ss-31, tb-500, tesamorelin",9,,"repo roster (discovery:result:""powered by shopify"" research peptides)",,,,,,,ok,7,
"Orlando, FL | Nexa Peptides",unknown (discovered via search),https://nexapeptides.us/,nexapeptides.us,support@nexapeptides.us,support@nexapeptides.us; contact@nexapeptides.us,website,https://nexapeptides.us/,,,,,yes,California,research_only,yes,yes,"bpc-157, mots-c, nad+, oxytocin, peptide, peptides, retatrutide, tb-500, tesamorelin",9,,"repo roster (discovery:result:research peptides company ""Florida"")",,,,,,,ok_chromium,4,
Pepper Review March 2026 testing round ↗,unknown (discovered via search),https://pepperreview.com/,pepperreview.com,hello@pepperreview.com,hello@pepperreview.com; disputes@pepperreview.com; partners@pepperreview.com; press@pepperreview.com; privacy@pepperreview.com,website,https://pepperreview.com/contact/,,,,,yes,Texas,research_only,yes,yes,"bpc-157, ghk-cu, glp-1, nad+, peptide, peptides, retatrutide, semax, tirzepatide",9,,repo roster (listdeep:peptidelocal.com),,,,,,,ok,3,reads like editorial/affiliate site
Peptide stacks,unknown (discovered via search),https://houstonmensclinic.com/,houstonmensclinic.com,info@obmen.net,info@obmen.net,website,https://houstonmensclinic.com/,(713) 770-6226,,,,yes,Missouri,consumer_and_research,,,"ipamorelin, kisspeptin, nad+, peptide, peptides, pt141, semaglutide, sermorelin, tirzepatide",9,,repo roster (listdeep:muscleandbrawn.com),,,,,,,ok,5,
Peptide Therapy in Chicago: Complete 2026 Guide | Better Med Spa,unknown (discovered via search),https://bettermedspa.com/,bettermedspa.com,hello@bettermedspa.com,hello@bettermedspa.com; privacy@bettermedspa.com,website,https://bettermedspa.com/,(312) 285-2618,,,,yes,Illinois,consumer_and_research,,,"ghk-cu, glp-1, nad+, peptide, peptides, semaglutide, sermorelin, tesamorelin, tirzepatide",9,,"repo roster (discovery:result:peptide supplier ""Illinois"" lab tested)",,,,,,,ok,5,
Peptitan Research - Premium Research Compounds,unknown (discovered via search),https://peptitanresearch.com/,peptitanresearch.com,support@peptitanresearch.com,support@peptitanresearch.com,website,https://peptitanresearch.com/,(909) 279-2567,,,,yes,California,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, tb-500",9,,"repo roster (discovery:result:research peptides company ""Arkansas"")",,,,,,,ok,2,
Research Hub - WhyNot Labs,unknown (discovered via search),https://thewhynotlabs.com/,thewhynotlabs.com,support@thewhynotlabs.com,support@thewhynotlabs.com,website,https://thewhynotlabs.com/,(281) 580-6594; (322) 196-5866; (479) 218-6371,,,,yes,Kansas,manufacturing_lab,yes,yes,"cagrilintide, mots-c, nad+, peptide, peptides, selank, semax, ss-31, tesamorelin",9,,"repo roster (discovery:result:peptide supplier ""Kansas"" lab tested)",,,,,,,ok,6,
Shop Peptyx Labs ↗,unknown (discovered via search),https://peptyxlaboratories.com/,peptyxlaboratories.com,support@peptyxlaboratories.com,support@peptyxlaboratories.com; researcher@institution.edu,website,https://peptyxlaboratories.com/,,,,,yes,,research_only,yes,yes,"bpc-157, ghk-cu, ipamorelin, nad+, peptide, peptides, semax, tb-500, tesamorelin",9,,repo roster (listdeep:peptideprices.net),,,,,,,ok,7,
Shop Upgrade Bio Labs ↗,unknown (discovered via search),https://upgradebiolabs.com/,upgradebiolabs.com,cs@upgradebiolabs.com,cs@upgradebiolabs.com,website,https://upgradebiolabs.com/,(800) 564-2330,,,,yes,Arizona,research_only,yes,yes,"bpc-157, ghk-cu, mots-c, peptide, peptides, selank, semax, tb-500, tesofensine",9,,repo roster (listdeep:peptideprices.net),,,,,,,ok,4,
Visit Aero Peptides,unknown (discovered via search),https://aeropeptides.com/,aeropeptides.com,support@aeropeptides.com,support@aeropeptides.com,website,https://aeropeptides.com/,,,,,yes,California,research_only,yes,yes,"cjc-1295, ghk-cu, glp1, ipamorelin, kisspeptin, peptide, peptides, sermorelin, tesamorelin",9,,repo roster (discovery:outlink:list:peptidetech.co),,,,,,,ok,6,
A2Z Peptides: Home Page,unknown (discovered via search),https://a2zpeptides.com/,a2zpeptides.com,customersupport@a2zpeptides.com,customersupport@a2zpeptides.com,website,https://a2zpeptides.com/,,,,,no,,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, kisspeptin, peptide, peptides, semax, ss-31",8,,"repo roster (discovery:result:peptides ""add to cart"" research use only)",,,,,,,ok_chromium,4,
Golden Lotus Labs — Pharmaceutical-Grade Clinical Distribution,unknown (discovered via search),https://goldenlotuslabs.com/,goldenlotuslabs.com,info@goldenlotuslabs.com,info@goldenlotuslabs.com,website,https://goldenlotuslabs.com/,(833) 885-6887,,,,yes,Nevada,manufacturing_lab,,,"bpc-157, epitalon, glp-1, mots-c, peptide, peptides, tb-500, thymosin",8,,"repo roster (discovery:result:peptide supplier ""Nevada"" lab tested)",,,,,,,ok,6,
MetBio Peptides,unknown (discovered via search),https://metbiopeptides.com/,metbiopeptides.com,contact@metbiopeptides.com,contact@metbiopeptides.com; debbie@metbiopeptides.com,website,https://metbiopeptides.com/,(713) 704-0900; (713) 714-0900,,,,yes,TX,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, dsip, ipamorelin, peptide, peptides",8,,"repo roster (discovery:result:""powered by shopify"" research peptides)",,,,,,,ok,5,
New England Peptide Center | Premium Research Peptides,unknown (discovered via search),https://newenglandpeptidecenter.com/,newenglandpeptidecenter.com,support@newenglandpeptidecenter.com,support@newenglandpeptidecenter.com; orders@newenglandpeptidecenter.com,website,https://newenglandpeptidecenter.com/,,,,,yes,Massachusetts,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, melanotan, peptide, peptides, tb-500, thymosin",8,,"repo roster (discovery:result:peptide supplier ""Massachusetts"" lab tested)",,,,,,,ok,6,
Shop,unknown (discovered via search),https://synthesispeptides.co/,synthesispeptides.co,support@synthesispeptides.io,support@synthesispeptides.io,website,https://synthesispeptides.co/,,,,,yes,California,research_only,yes,yes,"5-amino-1mq, bpc-157, ghk-cu, peptide, peptides, sermorelin, tb-500, tesamorelin",8,,repo roster (listdeep:profpeptide.com),,,,,,,ok,7,
Shop DAAVY Research ↗,unknown (discovered via search),https://daavyresearch.com/,daavyresearch.com,orders@daavyresearch.com,orders@daavyresearch.com,website,https://daavyresearch.com/,(723) 110-1000,,,,yes,Texas,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, nad+, peptide, peptides, tesamorelin",8,,repo roster (listdeep:peptideprices.net),,,,,,,ok,4,
Shop Vistara Labs ↗,unknown (discovered via search),https://vistaralabs.ca/,vistaralabs.ca,info@vistaralabs.ca,info@vistaralabs.ca,website,https://vistaralabs.ca/faq-research-use-policy/,,,,,yes,maine,research_only,yes,yes,"bpc-157, ghk-cu, peptide, peptides, retatrutide, selank, tb-500, tesamorelin",8,,repo roster (listdeep:peptideprices.net),,,,,,,ok,4,
"State pharmacy board oversight, USP sterile compounding stan",unknown (discovered via search),https://nextlevelpharm.com/,nextlevelpharm.com,hello@nextlevelpharm.com,hello@nextlevelpharm.com,website,https://nextlevelpharm.com/,(866) 680-0484,,,,yes,Wyoming,manufacturing_lab,yes,yes,"aod9604, bpc-157, bpc157, cagrilintide, peptide, peptides, tb500, tesamorelin",8,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,7,
View offer,unknown (discovered via search),https://telepeptide.org/,telepeptide.org,help@telepeptide.org,help@telepeptide.org; intake@telepeptide.org,website,https://telepeptide.org/,,,,,yes,Alaska,compounding_pharmacy,,yes,"glp-1, nad+, oxytocin, peptide, peptides, semaglutide, sermorelin, tirzepatide",8,,repo roster (listdeep:peptideprices.net),,,,,,,ok,3,
Visit Concordia Research Chems,unknown (discovered via search),https://concordiarc.com/,concordiarc.com,sales@concordiarc.com,sales@concordiarc.com; sales@concordiaresearchchems.com,website,https://concordiarc.com/,(630) 809-9668,,,,yes,Illinois,research_only,yes,yes,"bpc-157, cagrilintide, cjc1295, dsip, ghk-cu, peptide, peptides, tesamorelin",8,,repo roster (discovery:outlink:list:peptidetech.co),,,,,,,ok,5,
Visit Site,unknown (discovered via search),https://peptideminds.com/,peptideminds.com,support@peptideminds.com,support@peptideminds.com; support@oly.kkq.mybluehost.me; peptideminds@proton.me,website,https://peptideminds.com/contact/,(860) 792-1004,,,,yes,Connecticut,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, mots-c, nad+, peptide, peptides, tb-500",8,,repo roster (listdeep:peptidegrades.com),,,,,,,ok,7,
About - OMNI biologics,unknown (discovered via search),https://omnibiologicsus.com/,omnibiologicsus.com,info@omnibiologicsus.com,info@omnibiologicsus.com,website,https://omnibiologicsus.com/,(620) 502-0077,,,,yes,Kansas,research_only,yes,yes,"aod-9604, bpc-157, kisspeptin, peptide, peptides, tb-500, thymosin",7,,"repo roster (discovery:result:peptide supplier ""Kansas"" lab tested)",,,,,,,ok,7,
About Summit Peptides | Research Peptide Standards,unknown (discovered via search),https://smtpeptides.com/,smtpeptides.com,support@smtpeptides.com,support@smtpeptides.com; orders@smtpeptides.com,website,https://smtpeptides.com/,(720) 702-5009,,,,yes,Colorado,research_only,,yes,"bpc-157, ghk-cu, melanotan, peptide, peptides, tb-500, tesamorelin",7,,"repo roster (discovery:result:peptide supplier ""Colorado"" lab tested)",,,,,,,ok_chromium,5,
Aurum Peptide Labs: Premium Research Peptides USA,unknown (discovered via search),https://aurumpeptidelabs.com/,aurumpeptidelabs.com,support@aurumpeptidelabs.com,support@aurumpeptidelabs.com; orders@aurumpeptidelabs.com,website,https://aurumpeptidelabs.com/,(385) 399-1405,,,,yes,,manufacturing_lab,,yes,"bpc-157, cjc-1295, ghk-cu, melanotan, peptide, peptides, tb-500",7,,"repo roster (discovery:result:research peptides company ""Alaska"")",,,,,,,ok+deep,20,
bmiMD NAD+ dosing and state availability,unknown (discovered via search),https://bmimd.com/,bmimd.com,orders@bmimd.com,orders@bmimd.com,website,https://bmimd.com/,,,,,no,,compounding_pharmacy,,,"glp-1, nad+, peptide, peptides, semaglutide, sermorelin, tirzepatide",7,,repo roster (listdeep:policylab.us),,,,,,,ok_chromium,5,
Contact - Gila Peptides,unknown (discovered via search),https://gilapeptides.com/,gilapeptides.com,support@gilapeptides.com,support@gilapeptides.com; support@gila-peptides.com,website,https://gilapeptides.com/,,,,,yes,Wyoming,research_only,yes,yes,"aod-9604, bpc-157, cjc-1295, peptide, peptides, semaglutide, tirzepatide",7,,"repo roster (discovery:result:peptide company ""wholesale inquiries"")",,,,,,,ok,6,
Get $50 Off Your First Month (policy-lab-50),unknown (discovered via search),https://raeliva.com/,raeliva.com,support@raeliva.com,support@raeliva.com,website,https://raeliva.com/,(480) 496-4444; (800) 525-9473; (833) 654-3553,,,,yes,California,compounding_pharmacy,yes,,"glp-1, nad+, peptide, peptides, semaglutide, sermorelin, tirzepatide",7,,repo roster (listdeep:policylab.us),,,,,,,ok,7,
IsoPure Peptides | Research Peptides for Laboratory Use,unknown (discovered via search),https://isopurepep.com/,isopurepep.com,support@isopurepep.com,support@isopurepep.com,website,https://isopurepep.com/contact-us/,(219) 805-2787,,,,yes,FL,research_only,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, ghk-cu, glp1, peptide, peptides",7,,"repo roster (discovery:result:peptides ""add to cart"" research use only)",,,,,,,ok,4,
Orivian Peptides: Research Peptides & Laboratory Research Materials,unknown (discovered via search),https://orivianpeptides.com/,orivianpeptides.com,info@orivianpeptides.com,info@orivianpeptides.com,website,https://orivianpeptides.com/pages/contact,,,,,yes,NV,research_only,,yes,"5-amino-1mq, bpc-157, ghk-cu, mots-c, peptide, peptides, tesamorelin",7,,"repo roster (discovery:result:""powered by shopify"" research peptides)",,,,,,,ok,7,
Peptides - Nutrigenix Scientific,unknown (discovered via search),https://nutrigenixscientific.com/,nutrigenixscientific.com,info@nutrigenixscientific.com,info@nutrigenixscientific.com,website,https://nutrigenixscientific.com/,,,,,no,,manufacturing_lab,yes,yes,"bpc-157, ghk-cu, mots-c, peptide, peptides, retatrutide, tb-500",7,,"repo roster (discovery:result:peptides for sale ""lyophilized"" vial)",,,,,,,ok,4,
"Quality RX, Custom Medications - Alaska Compounding Pharmacy",unknown (discovered via search),https://mediverarx.com/,mediverarx.com,support@mediverarx.com,support@mediverarx.com; info@mediverarx.com,website,https://mediverarx.com/,(248) 267-5002; (866) 531-1826; (877) 531-1147,,,,yes,Nevada,compounding_pharmacy,yes,,"glp-1, nad+, oxytocin, peptide, peptides, pt-141, sermorelin",7,,"repo roster (discovery:result:peptide supplier ""Alaska"" lab tested)",,,,,,,ok,5,
Research Peptide Market,unknown (discovered via search),https://researchpeptidemarket.com/,researchpeptidemarket.com,contact@researchpeptidemarket.com,contact@researchpeptidemarket.com; kevin.castello@gmail.com; researchpeptidemarket@gmail.com,website,https://researchpeptidemarket.com/,,,,,yes,TX,consumer_and_research,yes,,"bpc-157, mots-c, peptide, peptides, retatrutide, tb500, tesamorelin",7,,"repo roster (discovery:result:""powered by shopify"" research peptides)",,,,,,,ok,6,
Shop Amino Science Labs ↗,unknown (discovered via search),https://aminoscience.io/,aminoscience.io,support@aminoscience.io,support@aminoscience.io,website,https://aminoscience.io/,(503) 902-1067,,,,yes,FL,research_only,yes,yes,"cagrilintide, ghk-cu, nad+, peptide, peptides, pt-141, tesamorelin",7,,repo roster (listdeep:peptideprices.net),,,,,,,ok,5,
Shop Elevate Research Labs ↗,unknown (discovered via search),https://elevateresearchco.com/,elevateresearchco.com,support@elevateresearchlabs.co,support@elevateresearchlabs.co,website,https://elevateresearchco.com/,,,,,yes,Alabama,research_only,yes,yes,"bpc-157, ghk-cu, glp-1, peptide, peptides, tb-500, thymosin",7,,repo roster (listdeep:peptideprices.net),,,,,,,ok,7,
Shop Registered Peptides ↗,unknown (discovered via search),https://registeredpeptides.com/,registeredpeptides.com,support@registeredpeptides.com,support@registeredpeptides.com,website,https://registeredpeptides.com/,(510) 389-8757,,,,yes,California,manufacturing_lab,yes,yes,"bpc-157, ghk-cu, mots-c, nad+, peptide, peptides, tb-500",7,,repo roster (listdeep:peptideprices.net),,,,,,,ok_chromium,5,
