vendor,country,website,domain,primary_email,all_emails,email_source,email_page,phone,whatsapp,telegram_signal,social,us_signal_on_site,state_mentioned,company_type,sells_direct,research_only,peptide_terms_found,peptide_hits,peptidebase_tier,listed_on,peptidebase_profile,finnrick_profile,finnrick_location,finnrick_products_tested,finnrick_tests,finnrick_status,crawl_status,pages_checked,notes
Direct Peptides,United States,https://directpeptides.com/,directpeptides.com,support@directpeptides.com,support@directpeptides.com,website,https://directpeptides.com/,(972) 919-0219,,,,yes,Texas,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, ss-31, tb-500, tesamorelin",12,Vendor's own word 2/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/direct-peptides,https://www.finnrick.com/vendors/direct-peptides,Us,0,0,Trading,ok,7,
Eternal Peptides,United States,https://eternalpeptides.com/,eternalpeptides.com,support@eternalpeptides.com,support@eternalpeptides.com; wholesale@eternalpeptides.com,website,https://eternalpeptides.com/,(910) 767-9503,,,,yes,California,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, tb-500, tb500, tesamorelin, thymosin",12,Vendor's own word 3/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/eternal-peptides,https://www.finnrick.com/vendors/eternal-peptides,,,,,ok,6,Text 910-767-9503; also eternalpeptides.net; Finnrick tirzepatide tests (public sample): 1 pass / 0 fail
Kalyx Labs,United States,https://kalyx-labs.com/,kalyx-labs.com,support@kalyx-labs.com,support@kalyx-labs.com,website,https://kalyx-labs.com/privacy-policy,,,,,yes,South Dakota,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, dsip, ghk-cu, glp-1, ipamorelin, peptide, peptides, retatrutide, ss-31, tb-500, tirzepatide",12,Nothing at all,PeptideBase,https://peptidebase.io/research-vendors/kalyx-labs,,,,,,ok,6,
Protide Health,United States,https://protidehealth.com/,protidehealth.com,support@protidehealth.com,support@protidehealth.com,website,https://protidehealth.com/,(702) 960-0520; (800) 952-5210; (916) 445-1254,,,,yes,Delaware,compounding_pharmacy,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, tb-500, tesamorelin, thymosin",12,Vendor's own word 1/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/protide-health,https://www.finnrick.com/vendors/protide-health,,0,0,Trading,ok,6,
Titan Peptide Lab,United States,https://titanpeptidelab.com/,titanpeptidelab.com,support@titanpeptidelab.com,support@titanpeptidelab.com; orders@shopvoltvault.com,website,https://titanpeptidelab.com/,,,,,yes,Utah,research_only,yes,yes,"bpc-157, cjc-1295, dsip, ipamorelin, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semax, tb-500",12,Vendor's own word 2/6,PeptideBase,https://peptidebase.io/research-vendors/titan-peptide-lab,,,,,,ok_chromium,5,
Adapt Peptides,United States (roster),https://adaptpeptides.com/,adaptpeptides.com,support@adaptpeptides.com,support@adaptpeptides.com; wholesale@adaptpeptides.com,website,https://adaptpeptides.com/,,,,,yes,Wyoming,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, glp1, ipamorelin, nad+, peptide, peptides, retatrutide, tb-500, tesamorelin",11,,repo roster (seed_urls),,,,,,,ok_chromium,5,
Ascension Peptides,United States,https://ascensionpeptides.com/,ascensionpeptides.com,sales@ascensionpeptides.com,sales@ascensionpeptides.com,website,https://ascensionpeptides.com/,(303) 518-6550,,,,yes,Kansas,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, tb-500",11,Vendor's own word 2/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/ascensionpeptides,https://www.finnrick.com/vendors/ascension-peptides,us,0,0,Trading,ok_chromium,5,
Atomix Research,United States (Finnrick),https://atomixresearch.com/,atomixresearch.com,contact@atomixresearch.com,contact@atomixresearch.com,website,https://atomixresearch.com/privacy-policy/,,,,,yes,Wyoming,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, cjc-1295, dsip, epitalon, ipamorelin, peptide, peptides, semax, tesamorelin, thymosin",11,,Finnrick,,https://www.finnrick.com/vendors/atomix-research,US,0,0,Trading,ok,7,
PeptiLab Research,United States (roster),https://peptilabstore.com/,peptilabstore.com,sales@peptilabstore.com,sales@peptilabstore.com,website,https://peptilabstore.com/contact/,,,,,yes,,manufacturing_lab,yes,,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, melanotan, peptide, peptides, retatrutide, tb-500, thymosin",11,,repo roster (vendor_domains),,,,,,,ok,2,
Pure Pep Research,United States (Finnrick),https://purepepresearch.com/,purepepresearch.com,support@purepepresearch.com,support@purepepresearch.com; info@purepepresearch.com; support@purepepresearch.store,website,https://purepepresearch.com/privacy-policy/,(888) 213-7326,,,,no,,research_only,,yes,"aod-9604, bpc-157, cagrilintide, cjc-1295, ipamorelin, melanotan, nad+, peptide, peptides, tb-500, tesamorelin",11,,Finnrick,,https://www.finnrick.com/vendors/pure-pep-research,US,0,0,Trading,ok,5,
Rarevbiolabs,United States (Finnrick),https://rarevbiolabs.com/,rarevbiolabs.com,support@rarevbiolabs.com,support@rarevbiolabs.com,website,https://rarevbiolabs.com/,(406) 292-8267; (525) 656-3166; (816) 359-8065,,,,yes,NY,research_only,yes,yes,"aod-9604, bpc-157, cagrilintide, ghk-cu, ipamorelin, mots-c, peptide, peptides, ss-31, tesamorelin, thymosin",11,,Finnrick,,https://www.finnrick.com/vendors/rarevbiolabs,US?,0,0,Trading,ok,7,
Sigma Peptides,United States (Finnrick),https://sigmapeptides.com/,sigmapeptides.com,support@sigmapeptides.com,support@sigmapeptides.com,website,https://sigmapeptides.com/,,,,,yes,,research_only,yes,yes,"bpc-157, cagrilintide, cjc-1295, ghk-cu, glp-1, ipamorelin, kisspeptin, peptide, peptides, pt-141, tb-500",11,,Finnrick,,https://www.finnrick.com/vendors/sigma-peptides,US,0,0,Trading,ok_chromium,5,
Virtus Peptides,United States,https://virtuspeptides.com/,virtuspeptides.com,support@virtuspeptides.com,support@virtuspeptides.com,website,http://virtuspeptides.com/,,,,,yes,Arizona,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, nad+, peptide, peptides, selank, semax, tb-500, tesamorelin",11,Vendor's own word 2/6,PeptideBase,https://peptidebase.io/research-vendors/virtus-peptides,,,,,,ok,6,
Behemoth Labz,United States,https://behemothlabz.com/,behemothlabz.com,support@behemothlabz.com,support@behemothlabz.com,website,https://behemothlabz.com/,,,,,yes,,research_only,yes,yes,"bpc-157, cjc-1295, hexarelin, ipamorelin, mots-c, peptide, peptides, semax, sermorelin, thymosin",10,Vendor's own word 2/6,PeptideBase,https://peptidebase.io/research-vendors/behemoth-labz,,,,,,ok,5,reads like editorial/affiliate site
BioGenix Peptides,United States (roster),https://biogenixpeptides.com/,biogenixpeptides.com,support@biogenixpeptides.com,support@biogenixpeptides.com,website,https://biogenixpeptides.com/contact-us/,(888) 478-2001,,,,yes,,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, mots-c, peptide, peptides, tb-500",10,,repo roster (vendor_domains),,,,,,,ok_chromium,5,
Biotech Peptides,United States,https://biotechpeptides.com/,biotechpeptides.com,support@biotechpeptides.com,support@biotechpeptides.com,website,https://biotechpeptides.com/,(619) 453-0156,,,,yes,California,manufacturing_lab,,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, peptide, peptides, pt-141, sermorelin, tb-500, tesamorelin",10,Vendor's own word 4/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/biotech-peptides,https://www.finnrick.com/vendors/biotech-peptides,us,0,0,Trading,ok_chromium,5,
Instant Peptides,United States (Finnrick),https://instantpeptides.com/,instantpeptides.com,support@instantpeptides.com,support@instantpeptides.com,website,https://instantpeptides.com/,(954) 204-8265,,,,yes,Alaska,research_only,yes,yes,"bpc-157, dsip, ghk-cu, nad+, peptide, peptides, pt-141, selank, semax, tb-500",10,,Finnrick,,https://www.finnrick.com/vendors/instant-peptides,US,0,0,Trading,ok,7,
Palmetto Peptides,United States (roster),https://palmettopeptides.com/,palmettopeptides.com,support@palmettopeptides.com,support@palmettopeptides.com; support@palmettopeps.com,website,https://palmettopeptides.com/pages/contact,,,,,yes,South Carolina,research_only,yes,yes,"aod-9604, bpc-157, cagrilintide, cjc-1295, ipamorelin, peptide, peptides, semaglutide, tb-500, tirzepatide",10,,repo roster (seed_urls),,,,,,,ok,7,
ProSupply PS Peptides,United States (roster),https://pspeptides.com/,pspeptides.com,support@pspeptides.com,support@pspeptides.com,website,https://pspeptides.com/,,,,,yes,New Jersey,research_only,yes,yes,"bpc-157, ghk-cu, glp-1, mots-c, nad+, peptide, peptides, retatrutide, semaglutide, tirzepatide",10,,Finnrick,,https://www.finnrick.com/vendors/prosupply-ps-peptides,,0,0,Trading,ok,4,
Ryder Research Supply,United States (Finnrick),https://ryderresearch.co/,ryderresearch.co,support@ryderresearch.co,support@ryderresearch.co; admin@ryderresearch.co,website,https://ryderresearch.co/,,,,,yes,Wyoming,research_only,yes,yes,"bpc-157, ghk-cu, mots-c, peptide, peptides, pt-141, retatrutide, semaglutide, tesamorelin, tirzepatide",10,,Finnrick,,https://www.finnrick.com/vendors/ryder-research-supply,us,0,0,Trading,ok,6,
UMBRELLA LABS,United States,https://umbrellalabs.is/,umbrellalabs.is,support@umbrellalabs.is,support@umbrellalabs.is; sales@umbrellalabs.is; shipping@umbrellalabs.is; support@umbrella-labs.us,website,https://umbrellalabs.is/,(855) 471-8544; (866) 289-7276; (915) 016-0340,,,,yes,Arizona,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, peptide, peptides, pt-141, semaglutide, tb-500, thymosin",10,Vendor's own word 2/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/umbrellalabs,https://www.finnrick.com/vendors/umbrella-labs,,0,0,active,ok,7,
Wholesale Peptide,United States,https://wholesalepeptide.com/,wholesalepeptide.com,service@wholesalepeptide.com,service@wholesalepeptide.com,website,https://wholesalepeptide.com/contact-us/,(888) 348-8577,,,,yes,Florida,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, dsip, epitalon, ipamorelin, melanotan, peptide, peptides, sermorelin, tb-500",10,Nothing at all,PeptideBase,https://peptidebase.io/research-vendors/wholesalepeptide,,,,,,ok,6,
Atomik Labz Peptides,United States (roster),https://atomiklabzpeptidesstore.com/,atomiklabzpeptidesstore.com,sales@atomiklabzpeptides.com,sales@atomiklabzpeptides.com,website,https://atomiklabzpeptidesstore.com/contact/,,,,,yes,,manufacturing_lab,yes,,"bpc-157, cjc-1295, dsip, ghk-cu, oxytocin, peptide, peptides, tb-500, thymosin",9,,repo roster (seed_urls),,,,,,,ok,2,
Biotech Labz Supply,United States (Finnrick),https://biotechlabzsupply.com/,biotechlabzsupply.com,support@biotechlabzsupply.com,support@biotechlabzsupply.com; biotechlabzsupply@gmail.com,website,https://biotechlabzsupply.com/contact,,,,,yes,CA,consumer_and_research,,,"bpc-157, cjc-1295, nad+, peptide, peptides, retatrutide, semaglutide, tb500, tirzepatide",9,,Finnrick,,https://www.finnrick.com/vendors/biotech-labz-supply,"US, CA, 95472",0,0,Trading,ok_chromium,2,
Disguised Alpha,United States,https://disguisedalpha.com/,disguisedalpha.com,support@disguisedalpha.com,support@disguisedalpha.com; emailsupport@disguisedalpha.com; operations@disguisedalpha.com; operationssupport@disguisedalpha.com,website,https://disguisedalpha.com/,,,,,yes,California,research_only,yes,yes,"bpc-157, cagrilintide, nad+, peptide, peptides, retatrutide, tb-500, tesamorelin, tirzepatide",9,Vendor's own word 1/6,PeptideBase,https://peptidebase.io/research-vendors/disguised-alpha,,,,,,ok,7,
Elite Research Labs,United States (roster),https://eliteresearchlab.com/,eliteresearchlab.com,info@eliteresearchlab.com,info@eliteresearchlab.com,website,https://eliteresearchlab.com/contact-1/,(346) 872-1955,,,,yes,Texas,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, mots-c, nad+, peptide, peptides, ss-31, tesamorelin",9,,repo roster (seed_urls),,,,,,,ok,8,
Good Science,United States,https://goodsciencebio.com/,goodsciencebio.com,team@goodsciencebio.com,team@goodsciencebio.com,website,https://goodsciencebio.com/,(323) 498-3596,,,,yes,California,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, peptide, peptides, tb-500, tesamorelin",9,Nothing at all,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/good-science,https://www.finnrick.com/vendors/good-science,,0,0,Trading,ok,6,
Great Lakes Peptides,United States (Finnrick),https://greatlakespeptides.com/,greatlakespeptides.com,support@greatlakespeptides.com,support@greatlakespeptides.com; sales@greatlakespeptides.com,website,https://greatlakespeptides.com/,,,,,yes,California,research_only,yes,yes,"5-amino-1mq, bpc-157, ghk-cu, peptide, peptides, selank, semax, tb500, tesofensine",9,,Finnrick,,https://www.finnrick.com/vendors/great-lakes-peptides,US,0,0,Trading,ok,7,
Ignite Peptides,United States,https://ignitepeptides.com/,ignitepeptides.com,support@ignitepeptides.com,support@ignitepeptides.com; contact@ignitepeptides.com,website,https://ignitepeptides.com/,,,,,yes,Florida,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, ghk-cu, peptide, peptides, sermorelin, tb-500, thymosin",9,Vendor's own word 1/6,"PeptideBase, PeptiPrices",https://peptidebase.io/research-vendors/ignite-peptides,,,,,,ok,8,
Molecular Edge Peptides,United States (roster),https://medgepeptides.com/,medgepeptides.com,support@medgepeptides.com,support@medgepeptides.com,website,https://medgepeptides.com/,,,,,yes,CA,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, peptide, peptides, selank, semax, tb-500",9,,repo roster (vendor_domains),,,,,,,ok_chromium,5,
Nationwide Peptides,United States,https://nationwidepeptides.com/,nationwidepeptides.com,customerservice@nationwidepeptides.com,customerservice@nationwidepeptides.com; service@nationwidepeptides.com,website,https://nationwidepeptides.com/,(844) 480-0111,,,,yes,TN,compounding_pharmacy,yes,yes,"bpc-157, ghk-cu, glp-1, peptide, peptides, selank, semaglutide, semax, tb-500",9,Vendor's own word 2/6,PeptideBase,https://peptidebase.io/research-vendors/nationwide-peptides,,,,,,ok,7,
Peptuvia,United States,https://peptuvia.com/,peptuvia.com,hello@peptuvia.com,hello@peptuvia.com,website,https://peptuvia.com/,,,,,yes,Tennessee,manufacturing_lab,yes,yes,"cjc-1295, ghk-cu, ipamorelin, kisspeptin, mots-c, peptide, peptides, retatrutide, tesamorelin",9,Vendor's own word 3/6,PeptideBase,https://peptidebase.io/research-vendors/peptuvia,,,,,,ok,5,
Reinvention Compounds,United States,https://reinventioncompounds.com/,reinventioncompounds.com,cs@reinventioncompounds.com,cs@reinventioncompounds.com,website,https://reinventioncompounds.com/privacy-policy/,,,,,yes,,manufacturing_lab,yes,yes,"aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, epitalon, ipamorelin, peptide, peptides",9,Vendor's own word 1/6,PeptideBase,https://peptidebase.io/research-vendors/reinvention-compounds,,,,,,ok,4,
BioPep Store,United States (Finnrick),https://biopepstore.com/,biopepstore.com,biopepcs@protonmail.com,biopepcs@protonmail.com,website,https://biopepstore.com/terms-and-conditions/,,,,,yes,NV,manufacturing_lab,yes,yes,"bpc-157, ghk-cu, ipamorelin, mots-c, peptide, peptides, ss-31, tesamorelin",8,,Finnrick,,https://www.finnrick.com/vendors/biopep-store,us,0,0,Trading,ok_chromium,5,
C2Peptides,United States (roster),https://c2peptides.com/,c2peptides.com,2peptides@gmail.com,2peptides@gmail.com; c2peptides@gmail.com; callie.roeber@gmail.com,website,https://c2peptides.com/pages/contact,,,,,yes,SD,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, peptide, peptides, tb-500, tesamorelin",8,,repo roster (vendor_domains),,,,,,,ok,7,
True Peptide,United States (Finnrick),https://truepeptidelabs.com/,truepeptidelabs.com,support@truepeptidelabs.com,support@truepeptidelabs.com; support@truepeptidelab.com; admin@truepeptidelab.com,website,https://truepeptidelabs.com/,(855) 611-3635,,,,yes,Florida,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, mots-c, peptide, peptides, tb-500, tesamorelin",8,,"PeptiPrices, Finnrick",,https://www.finnrick.com/vendors/true-peptide,Us,0,0,Trading,ok,5,
Ultima Pharmaceuticals,United States (Finnrick),https://ultimapharma.com/,ultimapharma.com,support@ultimapharma.com,support@ultimapharma.com,website,https://ultimapharma.com/contact-us/,,,,,no,,manufacturing_lab,,,"cjc1295, hexarelin, melanotan, peptide, peptides, selank, tb-500, thymosin",8,,Finnrick,,https://www.finnrick.com/vendors/ultima-pharmaceuticals,US,0,0,Trading,ok,5,
AminoVault,United States,https://aminovault.com/,aminovault.com,info@aminovault.com,info@aminovault.com; mfk@digitalhypemedia.com,website,https://aminovault.com/,,,,,yes,,research_only,yes,yes,"bpc-157, cjc-1295, ipamorelin, nad+, peptide, peptides, tesamorelin",7,Vendor's own word 3/6,PeptideBase,https://peptidebase.io/research-vendors/aminovault,,,,,,ok_chromium,4,
AminoWell,United States,https://aminowell.co/,aminowell.co,support@aminowell.com,support@aminowell.com; info@hello.ca,website,https://aminowell.co/,(709) 293-2520,,,,yes,FL,research_only,,yes,"melanotan, nad+, peptide, peptides, retatrutide, semaglutide, tirzepatide",7,Nothing at all,PeptideBase,,,,,,,ok,4,No PeptideBase profile page
Blue Sky Peptide,United States,https://blueskypeptide.com/,blueskypeptide.com,support@blueskypeptide.com,support@blueskypeptide.com; sales@blueskypeptide.com,website,https://blueskypeptide.com/privacy-policy-cookie-restriction-mode,,,,,yes,,research_only,yes,yes,"cjc-1295, ipamorelin, melanotan, peptide, peptides, tb500, thymosin",7,Vendor's own word 1/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/blue-sky-peptide,https://www.finnrick.com/vendors/blue-sky-peptide,US,0,0,Trading,ok,8,
Ds Peptides,United States (Finnrick),https://dspeptides.com/,dspeptides.com,dspeptides@proton.me,dspeptides@proton.me,website,https://dspeptides.com/,(570) 604-1323,,,,yes,WY,consumer_and_research,yes,,"cagrilintide, ghk-cu, glp-1, glp1, peptide, peptides, semaglutide",7,,Finnrick,,https://www.finnrick.com/vendors/ds-peptides,US,0,0,Trading,ok,1,
Elite Miami Peptides,United States (Finnrick),https://elitemiamipeptides.com/,elitemiamipeptides.com,support@elitemiamipeptides.com,support@elitemiamipeptides.com; contact@elitemiamipeptides.com; me@gmail.com; seoexpertsmanager@gmail.com,website,https://elitemiamipeptides.com/,(786) 827-0332; (877) 736-7642,,,,yes,Florida,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, peptide, peptides, tb-500",7,,Finnrick,,https://www.finnrick.com/vendors/elite-miami-peptides,US,0,0,Trading,ok,6,
Onyx Research,United States (Finnrick),https://onyxresearch.shop/,onyxresearch.shop,support@onyxresearch.shop,support@onyxresearch.shop,website,https://onyxresearch.shop/,,,,,no,,research_only,yes,yes,"bpc157, ghk-cu, ipamorelin, peptide, peptides, tb500, tesamorelin",7,,Finnrick,,https://www.finnrick.com/vendors/onyx-research,US,0,0,Trading,ok,7,
Puratek Peptides,United States,https://puratekpeptides.com/,puratekpeptides.com,support@puratekpeptides.com,support@puratekpeptides.com; puratekorders@gmail.com,website,https://puratekpeptides.com/,(702) 518-4855,,,,yes,,manufacturing_lab,yes,yes,"bpc-157, cagrilintide, ghk-cu, mots-c, nad+, peptide, peptides",7,Vendor's own word 2/6,"PeptideBase, PeptiPrices",https://peptidebase.io/research-vendors/puratek-peptides,,,,,,ok,1,
RetaOne,United States,https://retaonelabs.com/,retaonelabs.com,support@retaonelabs.com,support@retaonelabs.com,website,http://retaonelabs.com/,(866) 932-0050,,,,yes,Texas,manufacturing_lab,yes,yes,"bpc-157, ghk-cu, peptide, peptides, retatrutide, tb-500, tesamorelin",7,Vendor's own word 1/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/retaone,https://www.finnrick.com/vendors/retaone-labs,,0,0,Trading,ok,7,
UAEPeptideLab,United States (Finnrick),https://uaepeptidelab.com/,uaepeptidelab.com,info@uaepeptidelabs.com,info@uaepeptidelabs.com,website,https://uaepeptidelab.com/,,,,,no,,consumer_and_research,,,"bpc-157, ghk-cu, nad+, peptide, peptides, selank, tb-500",7,,Finnrick,,https://www.finnrick.com/vendors/uaepeptidelab,US,0,0,Trading,ok,1,
Biocollex Research,United States (roster),https://biocollexresearch.com/,biocollexresearch.com,info@biocollexresearch.com,info@biocollexresearch.com,website,https://www.biocollexresearch.com/,,,,,yes,Maryland,compounding_pharmacy,yes,yes,"bpc-157, ghk-cu, peptide, peptides, tb-500, tesamorelin",6,,repo roster (vendor_domains),,,,,,,ok,5,
Boss Peptides,United States (roster),https://bosspeptide.com/,bosspeptide.com,info@bosspeptide.com,info@bosspeptide.com; info@bosspeptides.com,website,https://bosspeptide.com/,(601) 691-9716,,,,yes,Mississippi,research_only,,yes,"peptide, peptides, retatrutide, semaglutide, tesamorelin, tirzepatide",6,,repo roster (vendor_domains),,,,,,,ok,7,
Lab Rat Peptide,United States (Finnrick),https://labratpeptides.com/,labratpeptides.com,support@labratpeptides.com,support@labratpeptides.com,website,https://labratpeptides.com/,(713) 810-8704,,,,yes,Texas,manufacturing_lab,yes,yes,"bpc-157, cagrilintide, glp-1, peptide, peptides, tesamorelin",6,,Finnrick,,https://www.finnrick.com/vendors/lab-rat-peptide,US,0,0,Trading,ok,6,
Limitless Peptides,United States,https://limitlesspeptides.net/,limitlesspeptides.net,sales@stellardigitalgroup.com,sales@stellardigitalgroup.com,website,https://limitlesspeptides.net/,(555) 123-4567; (578) 393-4937; (800) 123-4567,,,,yes,NY,manufacturing_lab,,yes,"bpc-157, cjc-1295, ghk-cu, melanotan, peptide, peptides",6,Tested independently,PeptideBase,https://peptidebase.io/research-vendors/limitless-peptides,,,,,,ok,2,
Midwest Peptide,United States (roster),https://midwestpeptide.com/,midwestpeptide.com,info@midwestpeptide.com,info@midwestpeptide.com,website,https://midwestpeptide.com/,(636) 734-2390,,,,yes,Kansas,research_only,yes,yes,"bpc-157, glp-1, peptide, peptides, tb-500, tesamorelin",6,,Finnrick,,https://www.finnrick.com/vendors/midwest-peptide,,0,0,Trading,ok,6,
Mile High Compounds,United States,https://milehighcompounds.is/,milehighcompounds.is,support@milehighcompounds.is,support@milehighcompounds.is,website,https://milehighcompounds.is/,,,,,yes,Colorado,manufacturing_lab,yes,yes,"bpc-157, ghk-cu, mots-c, nad+, peptide, peptides",6,Vendor's own word 1/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/mile-high-compounds,https://www.finnrick.com/vendors/mile-high-compounds,us,0,0,Trading,ok_chromium,5,
PureGenix Peptides,United States (Finnrick),https://puregenixpeptides.com/,puregenixpeptides.com,support@puregenixpeptides.com,support@puregenixpeptides.com; info@puregenixpeptides.com,website,https://puregenixpeptides.com/,(805) 436-2008,,,,yes,California,research_only,yes,yes,"aod-9604, bpc-157, ghk-cu, peptide, peptides, tb-500",6,,Finnrick,,https://www.finnrick.com/vendors/puregenix-peptides,us,0,0,Trading,ok,5,
RUO,United States,https://ruo.bio/,ruo.bio,cs@ruo.bio,cs@ruo.bio,website,https://ruo.bio/,(804) 636-6879,,,,yes,Wyoming,research_only,yes,yes,"bpc-157, ghk-cu, mots-c, peptide, peptides, tb-500",6,Vendor's own word 1/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/ruo,https://www.finnrick.com/vendors/ruo,US,0,0,Trading,ok,1,
Stemalia,United States (Finnrick),https://stemalia.com/,stemalia.com,info@stemalia.com,info@stemalia.com,website,https://stemalia.com/,(972) 818-7553,,,,yes,Texas,consumer_and_research,,,"aod-9604, bpc-157, cjc-1295, ipamorelin, peptide, semaglutide",6,,Finnrick,,https://www.finnrick.com/vendors/stemalia,US,0,0,Trading,ok,2,
Transforma Peptides,United States (Finnrick),https://transformapeptides.com/,transformapeptides.com,info@transformapeptides.com,info@transformapeptides.com,website,https://transformapeptides.com/,,,,,yes,,research_only,yes,yes,"hexarelin, ipamorelin, peptide, peptides, retatrutide, semaglutide",6,,Finnrick,,https://www.finnrick.com/vendors/transforma-peptides,us,0,0,Trading,ok,6,
TrueLab Peptides,United States (Finnrick),https://trulabpeptides.com/,trulabpeptides.com,hello@trulabpeptides.com,hello@trulabpeptides.com,website,https://trulabpeptides.com/,(813) 548-3725; (872) 239-6582,,,,yes,Florida,research_only,yes,yes,"aod-9604, ghk-cu, melanotan, nad+, peptide, peptides",6,,Finnrick,,https://www.finnrick.com/vendors/truelab-peptides,Us,0,0,Trading,ok,7,
Warrior Makers,United States,https://warrior-makers.com/,warrior-makers.com,orders@warrior-makers.com,orders@warrior-makers.com,website,https://warrior-makers.com/,,,,,yes,California,research_only,yes,yes,"bpc-157, mots-c, peptide, peptides, tb-500, tesamorelin",6,Nothing at all,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/warrior-makers,https://www.finnrick.com/vendors/warrior-makers,,0,0,active,ok,5,
Charleston Peptide Supply,United States (Finnrick),https://charlestonpeptidesupply.com/,charlestonpeptidesupply.com,charlestonpeptidesupply@gmail.com,charlestonpeptidesupply@gmail.com,website,https://charlestonpeptidesupply.com/policies/contact-information,,,,,yes,California,research_only,yes,yes,"bpc-157, cjc1295, dsip, peptide, peptides",5,,Finnrick,,https://www.finnrick.com/vendors/charleston-peptide-supply,US,0,0,Trading,ok,7,
Double R Labs,United States,https://doublerlabs.is/,doublerlabs.is,doublerlabs@protonmail.com,doublerlabs@protonmail.com,website,https://doublerlabs.is/,,,,,no,,research_only,,yes,"bpc-157, ipamorelin, peptide, peptides, tesofensine",5,Nothing at all,PeptideBase,https://peptidebase.io/research-vendors/double-r-labs,,,,,,ok,1,
Fusion Peptide,United States,https://fusionpeptide.com/,fusionpeptide.com,info@fusionpeptide.com,info@fusionpeptide.com,website,https://fusionpeptide.com/,(800) 385-6689,,,,yes,Alabama,research_only,yes,yes,"bpc-157, ghk-cu, nad+, peptide, peptides",5,Vendor's own word 2/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/fusion-peptide,https://www.finnrick.com/vendors/fusion-peptides,us,0,0,Trading,ok,3,
Geo Peptides,United States (Finnrick),https://geopeptides.com/,geopeptides.com,sales@geopeptides.com,sales@geopeptides.com; geopeptidescs@gmail.com,website,https://geopeptides.com/,(727) 537-0844,,,,yes,Florida,research_only,yes,yes,"cjc-1295, melanotan, peptide, peptides, tb-500",5,,Finnrick,,https://www.finnrick.com/vendors/geo-peptides,Us,0,0,Trading,ok,5,
Grey Axis Research,United States,https://gxresearch.shop/,gxresearch.shop,admin@gxresearch.shop,admin@gxresearch.shop; admin@greyaxisresearch.com,website,https://gxresearch.shop/,(817) 718-9521,,,,yes,Texas,research_only,yes,yes,"cagrilintide, ghk-cu, glp-1, peptide, peptides",5,Nothing at all,"PeptideBase, Finnrick",,https://www.finnrick.com/vendors/grey-axis-research,US,0,0,Trading,ok,8,No PeptideBase profile page
